fecha;facil;media;dificil
2026-06-04;TREN;HOSTEL;BERGHAIN
2026-06-05;MAPA;MOCHILA;SZIMPLA
2026-06-06;PASE;COLISEO;KARLOVY
2026-06-07;RUTA;BIGBEN;EURAIL
2026-06-08;VIAJE;ATOMIUM;TRESOR
2026-06-09;VUELO;DUOMO;AMNESIA
2026-06-10;FIESTA;CANALES;FABRIC
2026-06-11;GRUPO;BARRIO;CAMDEN
2026-06-12;CAMA;CASTILLO;ACROPOLIS
2026-06-13;PLAYA;CERVEZA;OKTOBER
2026-06-14;ANDEN;TRANVIA;WATERGATE
2026-06-15;TICKET;RUINAS;POMPEYA
2026-06-16;FOTOS;METRO;LOUVRE
2026-06-17;NOCHE;ALPES;FIORDOS
2026-06-18;BARCO;PUENTE;SCHONBRUNN
2026-06-19;TRENES;MURALLA;KREUZBERG
2026-06-20;SEAT;PALACIO;TRAFALGAR
2026-06-21;AMIGOS;PLAZA;BALCANES
2026-06-22;GUIA;GONDOLA;VENECIA
2026-06-23;BOLSA;LITERAS;NOCTURNO
2026-06-24;PARQUE;FRONTERA;SCHENGEN
2026-06-25;RELOJ;CATEDRAL;SAGRADA
2026-06-26;MURO;TOUR;FREETOUR
2026-06-27;NIEVE;DESCUENTO;CARNET
2026-06-28;SOL;EQUIPAJE;TAQUILLA
2026-06-29;PUB;RETIRO;VONDELPARK
2026-06-30;PINTA;ASTRONOMICO;GALLERY
2026-07-01;BICI;TERRAZA;ROOFTOP
2026-07-02;PIZZA;CRAWL;PUBCRAWL
2026-07-03;KEBAB;GUINNESS;TEMPLEBAR
2026-07-04;RIO;CARRIL;REDLIGHT
2026-07-05;LAGO;PASTA;GELATO
2026-07-06;BAÑOS;DANUBIO;CURRYWURST
2026-07-07;FERRY;BLED;SZECHENYI
2026-07-08;TORRE;TERMALES;CRUCERO
2026-07-09;DATOS;DRACULA;BRAN
2026-07-10;CABLE;EIFFEL;PISA
2026-07-11;CAMBIO;MONEDA;REVOLUT
2026-07-12;WIFI;ROAMING;ENCHUFE
2026-07-13;SABANAS;CARGADOR;ADAPTADOR
2026-07-14;ALARMA;RETRASO;HUELGA
2026-07-15;IDIOMA;INGLES;TRADUCTOR
2026-07-16;DIARIO;RECUERDO;SOUVENIR
2026-07-17;FINAL;VUELTA;RESACA
2026-07-18;VAGONES;TRANSBORDO;INTERRAIL
2026-07-19;PAGO;TARJETA;COMISION
2026-07-20;FOTOS;POSTUREO;INSTAGRAM
2026-07-21;DORMIR;ESTACION;MADRUGAR
2026-07-22;CENA;SUPER;MACARRONES
2026-07-23;MULTA;REVISOR;CONTROL
